Influencer,Token,Tweet Time,Price @Tweet,Price @5m,Price @10m,Price @15m,% Change
@kmoney_69,$,2025-03-04 21:09:33 UTC,0.014142,0.014142,0.014142,0.014142,0.0
@kmoney_69,$SOLANA,2025-03-04 21:09:33 UTC,5.47134e-10,5.47134e-10,5.47134e-10,5.47134e-10,0.0
@kmoney_69,$AGI,2025-03-04 21:09:33 UTC,0.0011475,0.0011475,0.0011475,0.0011475,0.0
@kmoney_69,$,2025-03-04 21:09:01 UTC,0.014142,0.014142,0.014142,0.014142,0.0
@kmoney_69,$PEPE,2025-03-04 21:09:01 UTC,5.1432e-08,5.1432e-08,5.1432e-08,5.1432e-08,0.0
@kmoney_69,$,2025-03-04 21:07:12 UTC,0.014142,0.014142,0.014142,0.014142,0.0
@kmoney_69,$YES,2025-03-04 21:07:12 UTC,1.9,1.9,1.9,1.9,0.0
@kmoney_69,$CO,2025-03-04 21:07:12 UTC,0.00048992,0.00048992,0.00048992,0.00048992,0.0
@kmoney_69,$T,2025-03-04 21:07:12 UTC,0.01762403,0.01762403,0.01762403,0.01762403,0.0
@kmoney_69,$,2025-03-04 21:03:50 UTC,0.014142,0.014142,0.014142,0.014142,0.0
@kmoney_69,$BACK,2025-03-04 21:03:50 UTC,4.565e-05,4.565e-05,4.565e-05,4.565e-05,0.0
@kmoney_69,$CO,2025-03-04 21:03:50 UTC,0.00048992,0.00048992,0.00048992,0.00048992,0.0
@kmoney_69,$RUN,2025-03-04 21:03:50 UTC,1.473e-05,1.473e-05,1.473e-05,1.473e-05,0.0
@kmoney_69,$PEPE,2025-03-04 21:03:50 UTC,5.1432e-08,5.1432e-08,5.1432e-08,5.1432e-08,0.0
@kmoney_69,$MOG,2025-03-04 21:03:50 UTC,0.00013489,0.00013489,0.00013489,0.00013489,0.0
@kmoney_69,$T,2025-03-04 21:03:50 UTC,0.01762403,0.01762403,0.01762403,0.01762403,0.0
@kmoney_69,$,2025-03-04 11:13:05 UTC,0.014142,0.014142,0.014142,0.014142,0.0
@kmoney_69,$BARS,2025-03-04 11:13:05 UTC,0.00041583,0.00041583,0.00041583,0.00041583,0.0
@kmoney_69,$,2025-03-04 11:12:40 UTC,0.014142,0.014142,0.014142,0.014142,0.0
@kmoney_69,$FINE,2025-03-04 11:12:40 UTC,1.484e-09,1.484e-09,1.484e-09,1.484e-09,0.0
@kmoney_69,$BACK,2025-03-04 11:12:40 UTC,4.565e-05,4.565e-05,4.565e-05,4.565e-05,0.0
@kmoney_69,$ALL,2025-03-04 11:12:40 UTC,0.00048667,0.00048667,0.00048667,0.00048667,0.0
@kmoney_69,$RUN,2025-03-04 11:12:40 UTC,1.473e-05,1.473e-05,1.473e-05,1.473e-05,0.0
@kmoney_69,$THE,2025-03-04 11:12:40 UTC,0.432296,0.432296,0.432296,0.432296,0.0
@kmoney_69,$AM,2025-03-04 11:12:40 UTC,2.414e-05,2.414e-05,2.414e-05,2.414e-05,0.0
@kmoney_69,$KNOW,2025-03-04 11:12:40 UTC,9.931e-05,9.931e-05,9.931e-05,9.931e-05,0.0
@kmoney_69,$IF,2025-03-04 11:12:40 UTC,1.315e-05,1.315e-05,1.315e-05,1.315e-05,0.0
@kmoney_69,$WE,2025-03-04 11:12:40 UTC,0.02621537,0.02621537,0.02621537,0.02621537,0.0
